"site_ID","growing_year","window","nobsv","extend_days","alpha","beta","C0","Hs","k2","TS","ERref","lnRatio"
"US-Uaf",2009,"131_145",114,51,0.1891260165,-0.006966014,1.0539269865,1.3726247338275,0.073681793980625,3.53044626388889,1.71310924136373,-0.495884810850803
"US-Uaf",2010,"131_145",106,39,0.1572590292,-0.00680026479195,1.915090155,1.3726247338275,0.073681793980625,3.26539388194445,2.71773251767243,-0.0343969006834055
"US-Uaf",2011,"131_145",100,24,0.186525227,-0.001984746558925,1.329867695,1.3726247338275,0.073681793980625,1.4979105,2.21591404944546,-0.238529818335752
"US-Uaf",2013,"131_145",113,33,0.13158073865,-0.00886710762,1.9860714,1.3726247338275,0.073681793980625,0.303137152777778,2.54515204624665,-0.100004408776861
"US-Uaf",2014,"131_145",103,27,0.08265892637,-0.0036835343740025,1.71764947,1.3726247338275,0.073681793980625,2.19313252777778,2.00606644147745,-0.338018989751407
"US-Uaf",2015,"131_145",110,24,0.1209268301,-0.00518709867137,2.200736655,1.3726247338275,0.073681793980625,3.75629059722222,2.81284042475096,0
"US-Uaf",2016,"131_145",116,18,0.0779852650905,-0.00395711734761,1.901879775,1.3726247338275,0.073681793980625,5.24185310625,2.14842561944465,-0.269459496244077
"US-Uaf",2017,"131_145",115,21,0.17561750875,-0.00513024725573,1.015583852,1.3726247338275,0.073681793980625,4.52204623833333,1.61536098597751,-0.554636347690558
"US-Uaf",2018,"131_145",122,27,0.1897132535,-0.004599982001164,1.139078703,1.3726247338275,0.073681793980625,2.64074538129319,1.88728727863896,-0.399054304386166
"US-Uaf",2020,"131_145",107,18,0.17746506655,-0.004214227463108,1.1371452455,1.3726247338275,0.073681793980625,4.03916712708333,1.82118241600225,-0.434708830856553
"US-Uaf",2021,"131_145",108,45,0.172265921,-0.008691435855,1.990826435,1.3726247338275,0.073681793980625,3.98075868763889,2.90617569530022,0.0326432227009054
"US-Uaf",2024,"131_145",108,24,0.0608183867543,-0.002712517592875,2.04594779,1.3726247338275,0.073681793980625,3.34731031972222,2.22666394099244,-0.233690325342746
"US-Uaf",2009,"145_159",103,60,0.178456872,-0.0056214294259,1.169494354,1.95094106175425,0.119111681247975,6.49136866490741,2.96972838372389,-0.287202679060315
"US-Uaf",2010,"145_159",117,54,0.13142910065,-0.00814531363,2.1646416,1.95094106175425,0.119111681247975,7.58778861111111,3.5611157267279,-0.10559927225454
"US-Uaf",2011,"145_159",105,36,0.17623118255,-0.006849673973,1.453281409,1.95094106175425,0.119111681247975,4.94649266666667,3.40310840751531,-0.150983922935145
"US-Uaf",2013,"145_159",105,39,0.10988913625,-0.00837049862,2.145317495,1.95094106175425,0.119111681247975,4.12229218055556,3.08047719011604,-0.250588657560556
"US-Uaf",2014,"145_159",104,39,0.08157910827,-0.004490195440195,1.8257669,1.95094106175425,0.119111681247975,4.86369388888889,2.59135611463036,-0.42349183933613
"US-Uaf",2015,"145_159",114,36,0.1284643574,-0.00587489325505,2.26716576,1.95094106175425,0.119111681247975,5.81972569444444,3.95774007567509,0
"US-Uaf",2016,"145_159",127,33,0.0802424996075,-0.00358769147299,1.84495149,1.95094106175425,0.119111681247975,6.90869064027778,2.65765162368248,-0.398230289787289
