"","site_ID","growing_year","window","nobsv","extend_days","alpha","beta","C0","k2","Hs","a","TS","ERref","lnRatio"
"1","US-Uaf",2009,"131_145",114,51,0.1917185215,-0.006287813115,2.380428675,0.203216426512725,992.076633,0.374316605,3.53044626388889,1.68791237424243,-0.525271271665122
"2","US-Uaf",2010,"131_145",106,39,0.1732325272,-0.00655418546381,4.15216332,0.203216426512725,992.076633,0.374316605,3.26539388194445,2.65950670371878,-0.0706230996317461
"3","US-Uaf",2011,"131_145",100,24,0.19034255,-0.0015987115033695,3.06380596,0.203216426512725,992.076633,0.374316605,1.4979105,2.21964382501203,-0.251417011668966
"4","US-Uaf",2013,"131_145",113,33,0.14958520135,-0.008836213425,4.277291545,0.203216426512725,992.076633,0.374316605,0.303137152777778,2.48073304466379,-0.140209656470938
"5","US-Uaf",2014,"131_145",103,27,0.109337319405,-0.00365241845681,3.705464415,0.203216426512725,992.076633,0.374316605,2.19313252777778,2.01646353667362,-0.347418502812555
"6","US-Uaf",2015,"131_145",110,24,0.1485619301,-0.00493407311435,4.780906225,0.203216426512725,992.076633,0.374316605,3.75629059722222,2.854120545354,0
"7","US-Uaf",2016,"131_145",116,18,0.09784850921,-0.00396375757582,4.287781045,0.203216426512725,992.076633,0.374316605,5.24185310625,2.20190992632873,-0.259438623424933
"8","US-Uaf",2017,"131_145",115,21,0.18127012,-0.003927493387,2.15653078,0.203216426512725,992.076633,0.374316605,4.52204623833333,1.52860086971427,-0.62441090270984
"9","US-Uaf",2018,"131_145",122,27,0.192248158,-0.002803623611275,2.46672919,0.203216426512725,992.076633,0.374316605,2.64074538129319,1.80740550592933,-0.456871360690721
"10","US-Uaf",2020,"131_145",107,18,0.181606187,-0.00341135949232,2.32795771,0.203216426512725,992.076633,0.374316605,4.03916712708333,1.64911242782087,-0.54852653485019
"11","US-Uaf",2021,"131_145",108,45,0.182855062,-0.008403620425,4.217982825,0.203216426512725,992.076633,0.374316605,3.98075868763889,2.73364962488416,-0.0431261801691412
"12","US-Uaf",2024,"131_145",108,24,0.060006846796,-0.002473863193145,5.030090025,0.203216426512725,992.076633,0.374316605,3.34731031972222,2.32500826633957,-0.205040161049775
"13","US-Uaf",2009,"145_159",103,60,0.1843689275,-0.0049229506415,2.480491645,0.349119772127475,991.85083425,0.372704023625,6.49136866490741,2.82306509263872,-0.333456641163637
